product_code,product_label,distance_m,lower_dbsm,upper_dbsm
pedistrain,假人,5.0,-12.6,-2.6
pedistrain,假人,10.0,-9.7,0.3
pedistrain,假人,15.0,-7.6,2.4
pedistrain,假人,20.0,-6.3,3.7
pedistrain,假人,25.0,-5.6,4.4
pedistrain,假人,30.0,-5.2,4.8
pedistrain,假人,35.0,-5.0,5.0
pedistrain,假人,40.0,-5.0,5.0
pedistrain,假人,45.0,-5.0,5.0
pedistrain,假人,50.0,-5.0,5.0
toddler,幼儿,5.0,-18.6,-8.5
toddler,幼儿,10.0,-15.2,-5.0
toddler,幼儿,15.0,-12.4,-2.3
toddler,幼儿,20.0,-10.4,-0.3
toddler,幼儿,25.0,-9.2,0.8
toddler,幼儿,30.0,-9.0,1.0
toddler,幼儿,35.0,-9.0,1.0
toddler,幼儿,40.0,-9.0,1.0
toddler,幼儿,45.0,-9.0,1.0
toddler,幼儿,50.0,-9.0,1.0
car,气球车,5.0,-3.1,8.9
car,气球车,10.0,1.0,13.0
car,气球车,15.0,4.3,16.3
car,气球车,20.0,6.8,18.8
car,气球车,25.0,8.6,20.6
car,气球车,30.0,9.7,21.7
car,气球车,35.0,10.0,22.0
car,气球车,40.0,10.0,22.0
car,气球车,45.0,10.0,22.0
car,气球车,50.0,10.0,22.0
evt_balloon_car,EVT气球车,5.0,-3.0,10.0
evt_balloon_car,EVT气球车,10.0,1.8,13.1
evt_balloon_car,EVT气球车,15.0,5.0,16.5
evt_balloon_car,EVT气球车,20.0,7.8,19.8
evt_balloon_car,EVT气球车,25.0,9.0,21.0
evt_balloon_car,EVT气球车,30.0,9.9,22.0
evt_balloon_car,EVT气球车,35.0,10.0,22.5
evt_balloon_car,EVT气球车,40.0,10.0,22.9
evt_balloon_car,EVT气球车,45.0,10.0,23.0
evt_balloon_car,EVT气球车,50.0,10.0,23.0
bicycle,自行车,5.0,-15.6,-5.6
bicycle,自行车,10.0,-11.8,-1.8
bicycle,自行车,15.0,-9.2,0.8
bicycle,自行车,20.0,-7.3,2.7
bicycle,自行车,25.0,-6.0,4.0
bicycle,自行车,30.0,-5.0,5.0
bicycle,自行车,35.0,-4.0,6.0
bicycle,自行车,40.0,-2.9,7.1
bicycle,自行车,45.0,-1.2,8.8
bicycle,自行车,50.0,1.1,11.1
electric motor,电动车,5.0,-15.6,-5.6
electric motor,电动车,10.0,-11.8,-1.8
electric motor,电动车,15.0,-9.2,0.8
electric motor,电动车,20.0,-7.3,2.7
electric motor,电动车,25.0,-6.0,4.0
electric motor,电动车,30.0,-5.0,5.0
electric motor,电动车,35.0,-4.0,6.0
electric motor,电动车,40.0,-2.9,7.1
electric motor,电动车,45.0,-1.2,8.8
electric motor,电动车,50.0,1.1,11.1
