timestamp,relative_time_s,run_key,run_label,tracking_mode,segment_index,speed_sign,speed_mps,nominal_speed_abs_mps,lookahead_base_m,arrival_dist_m,slow_down_dist_m,stanley_gain,stanley_softening_distance_m,stanley_term_rad,lateral_pid_kp,lateral_pid_ki,lateral_pid_kd,heading_pid_kp,heading_pid_ki,heading_pid_kd,yaw_rate_pid_kp,yaw_rate_pid_ki,yaw_rate_pid_kd,cmd_v_mps,cmd_w_radps,desired_v_mps,desired_w_radps,feedback_v_mps,feedback_w_radps,lateral_error_m,stanley_lateral_pd_output_radps,heading_error_rad,yaw_rate_error_radps,lateral_pid_output_radps,heading_pid_output_radps,yaw_rate_pid_output_radps,path_curvature_inv_m,path_ff_w_radps,profile_speed_mps,path_s_m,dist_to_goal_m,pose_age_s,segment_kind,segment_trajectory_name,motion_direction
1775480233.795679,0.000586,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.024590,0.002459,1.500000,0.002459,0.000000,0.000000,0.000000,,0.000000,0.000000,,,,0.024592,0.002459,1.500000,0.000000,62.827006,0.000000,circle,预设轨迹15,forward
1775480233.829583,0.034490,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.048776,0.002551,1.499950,0.003234,0.000000,0.000000,0.000033,,-0.000008,0.000000,,,,0.025511,0.004878,1.500000,-0.000018,62.827024,0.000000,circle,预设轨迹15,forward
1775480233.851695,0.056602,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.072565,0.002719,1.499892,0.003962,0.000000,0.000000,0.000084,,-0.000012,0.000000,,,,0.027191,0.007257,1.500000,-0.000057,62.827063,0.000000,circle,预设轨迹15,forward
1775480233.872096,0.077003,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.095963,0.002937,1.499851,0.004543,0.000000,0.000000,0.000122,,-0.000013,0.000000,,,,0.029371,0.009597,1.500000,-0.000070,62.827076,0.000000,circle,预设轨迹15,forward
1775480233.906089,0.110996,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.118977,0.003217,1.499799,0.005269,0.000000,0.000000,0.000167,,-0.000017,0.000000,,,,0.027039,0.011899,1.500000,-0.000086,62.827092,0.000000,circle,预设轨迹15,forward
1775480233.926585,0.131493,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.141611,0.003623,1.499628,0.006586,0.000000,0.000000,0.000310,,-0.000031,0.000000,,,,0.025583,0.014162,1.500000,-0.000242,62.827248,0.000000,circle,预设轨迹15,forward
1775480233.947505,0.152412,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.163872,0.004018,1.499539,0.006889,0.000000,0.000000,0.000375,,-0.000042,0.000000,,,,0.024518,0.016388,1.500000,-0.000325,62.827332,0.000000,circle,预设轨迹15,forward
1775480233.968065,0.172973,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.185766,0.004461,1.499432,0.007672,0.000000,0.000000,0.000442,,-0.000060,0.000000,,,,0.024016,0.018578,1.500000,-0.000418,62.827425,0.000000,circle,预设轨迹15,forward
1775480233.992421,0.197328,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.207299,0.004949,1.499262,0.008462,0.000000,0.000000,0.000509,,-0.000104,0.000000,,,,0.023872,0.020731,1.500000,-0.000465,62.827472,0.000000,circle,预设轨迹15,forward
1775480234.012908,0.217815,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.228470,0.005462,1.498752,0.009144,0.000000,0.000000,0.000555,,-0.000298,0.000000,,,,0.023906,0.022849,1.500000,-0.000306,62.827313,0.000000,circle,预设轨迹15,forward
1775480234.041744,0.246651,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.249288,0.005983,1.498347,0.009711,0.000000,0.000000,0.000559,,0.000466,0.000000,,,,0.024001,0.024931,1.500000,0.001249,62.825758,0.000000,circle,预设轨迹15,forward
1775480234.062032,0.266940,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.269759,0.006586,1.498029,0.010882,0.000000,0.000000,0.000616,,0.000576,0.000000,,,,0.024416,0.026978,1.500000,0.002974,62.824033,0.000000,circle,预设轨迹15,forward
1775480234.089014,0.293921,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.289886,0.007238,1.497480,0.011862,0.000000,0.000000,0.000689,,0.000776,0.000000,,,,0.024970,0.028991,1.500000,0.005336,62.821670,0.000000,circle,预设轨迹15,forward
1775480234.109491,0.314398,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.309679,0.007835,1.497266,0.012053,0.000000,0.000000,0.000654,,0.000880,0.000000,,,,0.025302,0.030970,1.500000,0.008291,62.818715,0.000000,circle,预设轨迹15,forward
1775480234.132332,0.337239,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.329130,0.008485,1.496192,0.013052,0.000000,0.000000,0.000639,,0.001335,0.000000,,,,0.025779,0.032916,1.500000,0.011798,62.815208,0.000000,circle,预设轨迹15,forward
1775480234.152703,0.357610,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.348245,0.009155,1.495146,0.013853,0.000000,0.000000,0.000610,,0.001785,0.000000,,,,0.026288,0.034827,1.500000,0.015812,62.811195,0.000000,circle,预设轨迹15,forward
1775480234.188715,0.393623,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.367026,0.009879,1.493878,0.014941,0.000000,0.000000,0.000610,,0.002317,0.000000,,,,0.026917,0.036705,1.500000,0.020252,62.806755,0.000000,circle,预设轨迹15,forward
1775480234.212000,0.416907,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.385480,0.010664,1.492766,0.016120,0.000000,0.000000,0.000648,,0.002769,0.000000,,,,0.027663,0.038551,1.500000,0.025255,62.801752,0.000000,circle,预设轨迹15,forward
1775480234.245317,0.450225,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.403594,0.011525,1.490409,0.017496,0.000000,0.000000,0.000747,,0.003723,0.000000,,,,0.028556,0.040363,1.500000,0.036470,62.790537,0.000000,circle,预设轨迹15,forward
1775480234.269460,0.474367,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.421368,0.012410,1.487835,0.018524,0.000000,0.000000,0.000846,,0.004772,0.000000,,,,0.029452,0.042140,1.500000,0.049087,62.777920,0.000000,circle,预设轨迹15,forward
1775480234.297911,0.502818,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.438826,0.013259,1.486269,0.019105,0.000000,0.000000,0.000880,,0.005422,0.000000,,,,0.030215,0.043886,1.500000,0.055888,62.771118,0.000000,circle,预设轨迹15,forward
1775480234.325994,0.530901,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.455945,0.014250,1.483073,0.021043,0.000000,0.000000,0.001051,,0.006713,0.000000,,,,0.031253,0.045598,1.500000,0.070349,62.756657,0.000000,circle,预设轨迹15,forward
1775480234.366758,0.571666,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.472753,0.015227,1.481232,0.021907,0.000000,0.000000,0.001189,,0.007444,0.000000,,,,0.032209,0.047279,1.500000,0.078035,62.748971,0.000000,circle,预设轨迹15,forward
1775480234.388808,0.593715,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.489235,0.016527,1.478160,0.025381,0.000000,0.000000,0.001679,,0.008563,0.000000,,,,0.033781,0.048927,1.500000,0.094081,62.732925,0.000000,circle,预设轨迹15,forward
1775480234.409360,0.614267,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.505416,0.017657,1.476273,0.025328,0.000000,0.000000,0.001973,,0.009256,0.000000,,,,0.034935,0.050545,1.500000,0.102475,62.724532,0.000000,circle,预设轨迹15,forward
1775480234.442002,0.646909,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.521291,0.018766,1.473795,0.026271,0.000000,0.000000,0.002232,,0.010220,0.000000,,,,0.035999,0.052133,1.500000,0.111060,62.715947,0.000000,circle,预设轨迹15,forward
1775480234.465440,0.670347,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.536839,0.020093,1.469742,0.029047,0.000000,0.000000,0.002723,,0.011778,0.000000,,,,0.037429,0.053688,1.500000,0.129027,62.697979,0.000000,circle,预设轨迹15,forward
1775480234.496011,0.700918,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.552100,0.021122,1.467738,0.028040,0.000000,0.000000,0.002880,,0.012586,0.000000,,,,0.038258,0.055214,1.500000,0.138335,62.688672,0.000000,circle,预设轨迹15,forward
1775480234.524130,0.729038,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.567078,0.022148,1.465764,0.029024,0.000000,0.000000,0.003018,,0.013391,0.000000,,,,0.039056,0.056712,1.500000,0.147911,62.679095,0.000000,circle,预设轨迹15,forward
1775480234.544636,0.749543,1775480233.795093|分段1,分段1,circle_orbit,1,1.000000,1.500000,1.500000,,,,,,,,,,,,,,,,0.581749,0.023466,1.462025,0.032276,0.000000,0.000000,0.003463,,0.014848,0.000000,,,,0.040338,0.058179,1.500000,0.167887,62.659119,0.000000,circle,预设轨迹15,forward
